date,year,month,country,arrivals,avg_temperature,rainfall_mm,season,season_Inter Monsoon,season_Northeast Monsoon,season_Southwest Monsoon,is_holiday,near_holiday,region,region_Americas,region_Asia,region_Europe,region_Middle East,region_Oceania,region_Other,quarter,day_of_year,week_of_year,month_sin,month_cos
2018-01-01,2018,1,India,24792,27,50,Northeast Monsoon,False,True,False,0,0,Asia,False,True,False,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,China,24518,27,50,Northeast Monsoon,False,True,False,0,0,Asia,False,True,False,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,United Kingdom,19929,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Germany,26609,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,France,20920,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,United States,19167,27,50,Northeast Monsoon,False,True,False,0,0,Americas,True,False,False,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Australia,21070,27,50,Northeast Monsoon,False,True,False,0,0,Oceania,False,False,False,False,True,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Russia,18879,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Japan,18043,27,50,Northeast Monsoon,False,True,False,0,0,Asia,False,True,False,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Maldives,14587,27,50,Northeast Monsoon,False,True,False,0,0,Other,False,False,False,False,False,True,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Netherlands,14343,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Switzerland,12283,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Italy,11190,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,Canada,10467,27,50,Northeast Monsoon,False,True,False,0,0,Americas,True,False,False,False,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-01-01,2018,1,UAE,7359,27,50,Northeast Monsoon,False,True,False,0,0,Middle East,False,False,False,True,False,False,1,1,1,0.49999999999999994,0.8660254037844387
2018-02-01,2018,2,India,29550,27,50,Northeast Monsoon,False,True,False,0,0,Asia,False,True,False,False,False,False,1,32,5,0.8660254037844386,0.5000000000000001
2018-02-01,2018,2,China,27971,27,50,Northeast Monsoon,False,True,False,0,0,Asia,False,True,False,False,False,False,1,32,5,0.8660254037844386,0.5000000000000001
2018-02-01,2018,2,United Kingdom,21793,27,50,Northeast Monsoon,False,True,False,0,0,Europe,False,False,True,False,False,False,1,32,5,0.8660254037844386,0.5000000000000001
